Country,Scientific.Name,Longitude,Latitude
NC,Isopora crateriformis,166.443,-21.6233
NC,Isopora crateriformis,165.23703,-21.55022
NC,Isopora crateriformis,164.473,-20.2166
NC,Isopora crateriformis,166.397,-20.7244
NC,Isopora crateriformis,166.445,-21.6235
AS,Isopora crateriformis,-170.750244,-14.36024
AS,Isopora crateriformis,-170.788818,-14.34288
AS,Isopora crateriformis,-169.676025,-14.1846
AS,Isopora crateriformis,-170.704513,-14.33595
AS,Isopora crateriformis,-169.607696,-14.1864
AS,Isopora crateriformis,-169.655685,-14.16463
AS,Isopora crateriformis,-169.446945,-14.25116
AS,Isopora crateriformis,-170.561508,-14.26753
AS,Isopora crateriformis,-170.564056,-14.28551
PG,Isopora crateriformis,150.87305,-9.225533
BN,Isopora crateriformis,114.731533,5.020258
AS,Isopora crateriformis,-169.65,-14.183333
ID,Isopora crateriformis,132.778333,-3.311667
ID,Isopora crateriformis,135.67,-2.95
AU,Isopora crateriformis,153.548333,-27.39
